kind,reading,n,participant_sd,dgp,crit,truth_ratio,delta_coverage,fieller_coverage,delta_below_frac,fieller_below_frac,unbounded_fieller_frac,feasible
coverage,SD,8,13.0,beta,t,2.52,0.9426,0.9354,0.0267,0.0169,0.0,True
coverage,SD,8,13.0,beta,z,2.52,0.917,0.9127,0.0379,0.0259,0.0,True
coverage,SD,8,13.0,two_point,t,2.52,0.8944,0.8427,0.1056,0.042,0.1183,True
coverage,SD,9,13.0,beta,t,2.52,0.9425,0.9368,0.0259,0.0173,0.0,True
coverage,SD,9,13.0,beta,z,2.52,0.9223,0.9163,0.0354,0.0255,0.0,True
coverage,SD,9,13.0,two_point,t,2.52,0.8843,0.8821,0.1157,0.036,0.0833,True
coverage,SD,10,13.0,beta,t,2.52,0.9425,0.9366,0.0254,0.0173,0.0,True
coverage,SD,10,13.0,beta,z,2.52,0.9243,0.9185,0.0335,0.0242,0.0,True
coverage,SD,10,13.0,two_point,t,2.52,0.9077,0.9012,0.0922,0.0332,0.0607,True
coverage,SE,9,39.0,beta,t,2.52,0.9232,0.9102,0.0261,0.01,0.7032,True
coverage,SE,9,39.0,beta,z,2.52,0.905,0.8947,0.0365,0.0155,0.5672,True
coverage,SE,9,39.0,two_point,t,2.52,0.9734,0.978,0.0266,0.0129,0.7357,True
coverage,CI half-width,9,19.9,beta,t,2.52,0.9417,0.9316,0.0268,0.014,0.0041,True
coverage,CI half-width,9,19.9,beta,z,2.52,0.9228,0.911,0.0353,0.0212,0.0015,True
coverage,CI half-width,9,19.9,two_point,t,2.52,0.9484,0.9309,0.0516,0.0516,0.0846,True
threshold_oc,SD,9,13.0,beta,t,2.8,0.9376,0.9246,0.0262,0.0118,0.0118,True
threshold_oc,SD,9,13.0,two_point,t,2.8,0.9509,0.9304,0.0491,0.0495,0.1352,True
threshold_oc,SD,9,13.0,beta,t,5.0,0.9315,0.9137,0.0261,0.0102,0.0112,True
threshold_oc,SD,9,13.0,two_point,t,5.0,0.9509,0.9209,0.0491,0.0491,0.1352,True
