record_id,include_primary,n_status,uncertainty_class,adjudicator,resolution_notes,status
A1,,,,,,pending
A2,,,,,,pending
A3,,,,,,pending
A4,,,,,,pending
A5,,,,,,pending
A6,,,,,,pending
A7,,,,,,pending
A8,,,,,,pending
A9,,,,,,pending
A10,,,,,,pending
A11,,,,,,pending
A12,,,,,,pending
A13,,,,,,pending
A14,,,,,,pending
A15,,,,,,pending
A16,,,,,,pending
A17,,,,,,pending
A18,,,,,,pending
A19,,,,,,pending
A20,,,,,,pending
A21,,,,,,pending
A22,,,,,,pending
A23,,,,,,pending
A24,,,,,,pending
A25,,,,,,pending
A26,,,,,,pending
A27,,,,,,pending
O1,,,,,,pending
O2,,,,,,pending
O3,,,,,,pending
O4,,,,,,pending
O5,,,,,,pending
O6,,,,,,pending
O7,,,,,,pending
O8,,,,,,pending
O9,,,,,,pending
O10,,,,,,pending
O11,,,,,,pending
O12,,,,,,pending
O13,,,,,,pending
O14,,,,,,pending
O15,,,,,,pending
O16,,,,,,pending
D1,,,,,,pending
D2,,,,,,pending
D3,,,,,,pending
D4,,,,,,pending
D5,,,,,,pending
D6,,,,,,pending
D7,,,,,,pending
D8,,,,,,pending
D9,,,,,,pending
D10,,,,,,pending
D11,,,,,,pending
D12,,,,,,pending
D13,,,,,,pending
T1,,,,,,pending
T2,,,,,,pending
T3,,,,,,pending
T4,,,,,,pending
T5,,,,,,pending
T6,,,,,,pending
T7,,,,,,pending
T8,,,,,,pending
T9,,,,,,pending
T10,,,,,,pending
T11,,,,,,pending
O17,,,,,,pending
O18,,,,,,pending
O19,,,,,,pending
O20,,,,,,pending
O21,,,,,,pending
O22,,,,,,pending
O23,,,,,,pending
O24,,,,,,pending
O25,,,,,,pending
O26,,,,,,pending
O27,,,,,,pending
O28,,,,,,pending
O29,,,,,,pending
O30,,,,,,pending
O31,,,,,,pending
O32,,,,,,pending
A28,,,,,,pending
A29,,,,,,pending
A30,,,,,,pending
A31,,,,,,pending
A32,,,,,,pending
A33,,,,,,pending
A34,,,,,,pending
D14,,,,,,pending
D15,,,,,,pending
D16,,,,,,pending
D17,,,,,,pending
D18,,,,,,pending
D19,,,,,,pending
D20,,,,,,pending
D21,,,,,,pending
